Source,Target,Type
11,0,Directed
26,0,Directed
69,0,Directed
71,0,Directed
83,0,Directed
114,0,Directed
12,1,Directed
19,1,Directed
27,1,Directed
44,1,Directed
72,1,Directed
83,1,Directed
112,1,Directed
115,1,Directed
126,1,Directed
6,2,Directed
8,2,Directed
13,2,Directed
15,2,Directed
18,2,Directed
28,2,Directed
29,2,Directed
30,2,Directed
32,2,Directed
33,2,Directed
38,2,Directed
39,2,Directed
43,2,Directed
69,2,Directed
81,2,Directed
116,2,Directed
7,3,Directed
8,3,Directed
15,3,Directed
19,3,Directed
29,3,Directed
30,3,Directed
31,3,Directed
32,3,Directed
33,3,Directed
37,3,Directed
39,3,Directed
46,3,Directed
66,3,Directed
75,3,Directed
76,3,Directed
10,4,Directed
15,5,Directed
11,6,Directed
15,6,Directed
16,6,Directed
24,6,Directed
46,6,Directed
3,7,Directed
8,7,Directed
12,7,Directed
15,7,Directed
42,7,Directed
46,7,Directed
29,8,Directed
31,8,Directed
34,8,Directed
71,8,Directed
73,8,Directed
79,8,Directed
80,8,Directed
100,8,Directed
116,8,Directed
5,9,Directed
14,9,Directed
17,9,Directed
27,9,Directed
47,9,Directed
73,9,Directed
74,9,Directed
4,10,Directed
6,10,Directed
15,10,Directed
48,10,Directed
73,10,Directed
77,10,Directed
0,11,Directed
6,11,Directed
8,11,Directed
14,11,Directed
20,11,Directed
35,11,Directed
71,11,Directed
78,11,Directed
79,11,Directed
112,11,Directed
114,11,Directed
7,12,Directed
8,12,Directed
34,12,Directed
35,12,Directed
72,12,Directed
80,12,Directed
113,12,Directed
115,12,Directed
34,13,Directed
35,13,Directed
89,13,Directed
1,14,Directed
6,14,Directed
8,14,Directed
45,14,Directed
46,14,Directed
72,14,Directed
4,15,Directed
5,15,Directed
6,15,Directed
7,15,Directed
8,15,Directed
42,15,Directed
45,15,Directed
46,15,Directed
6,16,Directed
10,16,Directed
24,16,Directed
7,17,Directed
8,17,Directed
0,18,Directed
6,18,Directed
24,18,Directed
28,18,Directed
30,18,Directed
32,18,Directed
33,18,Directed
71,18,Directed
79,18,Directed
81,18,Directed
83,18,Directed
1,19,Directed
7,19,Directed
8,19,Directed
29,19,Directed
31,19,Directed
32,19,Directed
33,19,Directed
35,19,Directed
72,19,Directed
11,20,Directed
14,20,Directed
15,20,Directed
24,20,Directed
45,20,Directed
46,20,Directed
7,21,Directed
14,21,Directed
19,21,Directed
45,21,Directed
46,21,Directed
24,22,Directed
25,23,Directed
6,24,Directed
22,24,Directed
7,25,Directed
8,25,Directed
42,25,Directed
28,26,Directed
33,26,Directed
34,26,Directed
71,26,Directed
73,26,Directed
29,27,Directed
35,27,Directed
72,27,Directed
74,27,Directed
126,27,Directed
2,28,Directed
29,28,Directed
30,28,Directed
32,28,Directed
34,28,Directed
28,29,Directed
31,29,Directed
33,29,Directed
35,29,Directed
29,30,Directed
31,30,Directed
33,30,Directed
35,30,Directed
40,30,Directed
28,31,Directed
30,31,Directed
32,31,Directed
34,31,Directed
40,31,Directed
28,32,Directed
30,32,Directed
33,32,Directed
29,33,Directed
31,33,Directed
32,33,Directed
28,34,Directed
32,34,Directed
29,35,Directed
33,35,Directed
1,36,Directed
31,36,Directed
32,36,Directed
37,36,Directed
38,36,Directed
39,36,Directed
44,36,Directed
80,36,Directed
83,36,Directed
113,36,Directed
115,36,Directed
3,37,Directed
30,37,Directed
33,37,Directed
36,37,Directed
38,37,Directed
39,37,Directed
83,37,Directed
112,37,Directed
114,37,Directed
28,38,Directed
30,38,Directed
31,38,Directed
32,38,Directed
35,38,Directed
37,38,Directed
29,39,Directed
30,39,Directed
31,39,Directed
33,39,Directed
34,39,Directed
36,39,Directed
38,39,Directed
35,40,Directed
4,41,Directed
11,41,Directed
14,41,Directed
16,41,Directed
43,41,Directed
1,42,Directed
5,42,Directed
12,42,Directed
14,42,Directed
15,42,Directed
44,42,Directed
83,42,Directed
0,43,Directed
8,43,Directed
11,43,Directed
30,43,Directed
71,43,Directed
113,43,Directed
1,44,Directed
12,44,Directed
17,44,Directed
31,44,Directed
72,44,Directed
83,44,Directed
115,44,Directed
6,45,Directed
7,45,Directed
8,45,Directed
28,45,Directed
71,45,Directed
3,46,Directed
7,46,Directed
8,46,Directed
45,46,Directed
29,47,Directed
34,47,Directed
35,47,Directed
48,47,Directed
72,47,Directed
74,47,Directed
26,48,Directed
28,48,Directed
34,48,Directed
71,48,Directed
73,48,Directed
35,49,Directed
53,49,Directed
55,49,Directed
65,49,Directed
67,49,Directed
73,49,Directed
75,49,Directed
76,49,Directed
81,49,Directed
90,49,Directed
99,49,Directed
105,49,Directed
112,49,Directed
119,49,Directed
123,49,Directed
127,49,Directed
34,50,Directed
54,50,Directed
56,50,Directed
66,50,Directed
68,50,Directed
74,50,Directed
75,50,Directed
76,50,Directed
86,50,Directed
91,50,Directed
98,50,Directed
104,50,Directed
113,50,Directed
120,50,Directed
124,50,Directed
128,50,Directed
2,51,Directed
35,51,Directed
57,51,Directed
65,51,Directed
69,51,Directed
75,51,Directed
76,51,Directed
81,51,Directed
86,51,Directed
98,51,Directed
106,51,Directed
121,51,Directed
17,52,Directed
34,52,Directed
58,52,Directed
64,52,Directed
66,52,Directed
70,52,Directed
75,52,Directed
76,52,Directed
82,52,Directed
84,52,Directed
87,52,Directed
99,52,Directed
107,52,Directed
122,52,Directed
55,53,Directed
81,53,Directed
90,53,Directed
82,54,Directed
91,54,Directed
35,55,Directed
53,55,Directed
86,55,Directed
88,55,Directed
89,55,Directed
90,55,Directed
91,55,Directed
94,55,Directed
34,56,Directed
54,56,Directed
86,56,Directed
87,56,Directed
88,56,Directed
89,56,Directed
90,56,Directed
91,56,Directed
93,56,Directed
126,56,Directed
55,57,Directed
81,57,Directed
86,57,Directed
129,57,Directed
56,58,Directed
64,58,Directed
82,58,Directed
87,58,Directed
26,59,Directed
53,59,Directed
67,59,Directed
73,59,Directed
81,59,Directed
93,59,Directed
94,59,Directed
119,59,Directed
50,60,Directed
54,60,Directed
76,60,Directed
78,60,Directed
82,60,Directed
92,60,Directed
93,60,Directed
94,60,Directed
120,60,Directed
34,61,Directed
55,61,Directed
67,61,Directed
69,61,Directed
75,61,Directed
78,61,Directed
88,61,Directed
89,61,Directed
94,61,Directed
95,61,Directed
125,61,Directed
56,62,Directed
66,62,Directed
68,62,Directed
70,62,Directed
78,62,Directed
88,62,Directed
93,62,Directed
95,62,Directed
122,62,Directed
124,62,Directed
48,63,Directed
57,63,Directed
69,63,Directed
71,63,Directed
78,63,Directed
81,63,Directed
93,63,Directed
94,63,Directed
95,63,Directed
121,63,Directed
58,64,Directed
70,64,Directed
72,64,Directed
78,64,Directed
82,64,Directed
93,64,Directed
94,64,Directed
95,64,Directed
122,64,Directed
126,64,Directed
35,65,Directed
49,65,Directed
51,65,Directed
57,65,Directed
73,65,Directed
86,65,Directed
87,65,Directed
88,65,Directed
90,65,Directed
93,65,Directed
101,65,Directed
116,65,Directed
117,65,Directed
118,65,Directed
127,65,Directed
34,66,Directed
35,66,Directed
50,66,Directed
52,66,Directed
54,66,Directed
58,66,Directed
62,66,Directed
74,66,Directed
87,66,Directed
88,66,Directed
89,66,Directed
91,66,Directed
94,66,Directed
116,66,Directed
117,66,Directed
118,66,Directed
76,67,Directed
87,67,Directed
110,67,Directed
75,68,Directed
76,68,Directed
86,68,Directed
99,68,Directed
111,68,Directed
57,69,Directed
63,69,Directed
75,69,Directed
78,69,Directed
81,69,Directed
91,69,Directed
108,69,Directed
58,70,Directed
64,70,Directed
76,70,Directed
78,70,Directed
82,70,Directed
90,70,Directed
94,70,Directed
109,70,Directed
72,71,Directed
84,71,Directed
85,71,Directed
86,71,Directed
87,71,Directed
88,71,Directed
89,71,Directed
90,71,Directed
91,71,Directed
104,71,Directed
116,71,Directed
117,71,Directed
118,71,Directed
52,72,Directed
56,72,Directed
84,72,Directed
86,72,Directed
87,72,Directed
88,72,Directed
89,72,Directed
90,72,Directed
91,72,Directed
101,72,Directed
104,72,Directed
105,72,Directed
106,72,Directed
116,72,Directed
117,72,Directed
118,72,Directed
8,73,Directed
26,73,Directed
28,73,Directed
31,73,Directed
33,73,Directed
34,73,Directed
35,73,Directed
71,73,Directed
118,73,Directed
29,74,Directed
34,74,Directed
72,74,Directed
78,74,Directed
116,74,Directed
28,75,Directed
29,75,Directed
79,75,Directed
80,75,Directed
85,75,Directed
97,75,Directed
112,75,Directed
116,75,Directed
117,75,Directed
118,75,Directed
28,76,Directed
29,76,Directed
113,76,Directed
116,76,Directed
117,76,Directed
118,76,Directed
92,77,Directed
1,78,Directed
11,78,Directed
12,78,Directed
27,78,Directed
48,78,Directed
49,78,Directed
50,78,Directed
51,78,Directed
52,78,Directed
62,78,Directed
67,78,Directed
68,78,Directed
69,78,Directed
70,78,Directed
71,78,Directed
72,78,Directed
73,78,Directed
74,78,Directed
81,78,Directed
82,78,Directed
94,78,Directed
95,78,Directed
130,78,Directed
28,79,Directed
30,79,Directed
31,79,Directed
73,79,Directed
88,79,Directed
89,79,Directed
97,79,Directed
101,79,Directed
102,79,Directed
103,79,Directed
117,79,Directed
28,80,Directed
30,80,Directed
31,80,Directed
38,80,Directed
74,80,Directed
88,80,Directed
89,80,Directed
97,80,Directed
102,80,Directed
103,80,Directed
116,80,Directed
117,80,Directed
67,81,Directed
68,82,Directed
11,83,Directed
12,83,Directed
26,83,Directed
48,83,Directed
71,83,Directed
72,83,Directed
125,83,Directed
126,83,Directed
71,84,Directed
72,84,Directed
88,84,Directed
90,84,Directed
101,84,Directed
107,84,Directed
115,84,Directed
117,84,Directed
71,85,Directed
72,85,Directed
86,85,Directed
89,85,Directed
91,85,Directed
95,85,Directed
100,85,Directed
