Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,closnesscentrality,betweenesscentrality,modularity_class,x,y
11,AIZL,11,7,18,11,7,18,0.276596,1317.126819,0,0.048698,0.002705
0,ADFL,6,3,9,6,3,9,0.233533,92.17938,1,0.082393,-0.000984
26,AUAL,5,6,11,5,6,11,0.278571,67.107533,1,0.06862,0.006149
69,OLQVL,7,6,13,7,6,13,0.273364,824.700248,2,0.116089,0.004181
71,RIAL,13,21,34,13,21,34,0.428571,899.937442,3,0.089526,-0.003935
83,RIR,8,7,15,8,7,15,0.252155,457.027581,1,0.069562,0.009308
114,SMBVL,2,3,5,2,3,5,0.232143,18.590115,1,0.05952,0.014265
12,AIZR,8,6,14,8,6,14,0.262921,249.034218,0,0.05756,0.003184
1,ADFR,9,6,15,9,6,15,0.261745,340.820361,0,0.083279,-0.003184
19,ASHR,9,3,12,9,3,12,0.214286,52.00752,1,0.07838,-0.00098
27,AUAR,5,4,9,5,4,9,0.264108,32.687418,0,0.067113,0.005389
44,AWBR,7,3,10,7,3,10,0.225434,52.886434,0,0.082789,-0.006858
72,RIAR,16,22,38,16,22,38,0.420863,2602.883501,3,0.089892,-0.004654
112,SMBDL,3,6,9,3,6,9,0.279236,80.354587,1,0.064685,0.014019
115,SMBVR,2,5,7,2,5,7,0.275943,53.804978,0,0.066133,0.012737
126,URXR,10,6,16,10,6,16,0.275943,259.824834,4,0.093077,-0.010042
6,AIAL,5,9,14,5,9,14,0.282609,982.800054,0,0.065177,0.009346
2,ADLL,16,2,18,16,2,18,0.302326,2657.330083,1,0.082639,-0.013035
8,AIBR,9,16,25,9,16,25,0.370253,711.001435,0,0.075441,0.006123
13,ALA,3,1,4,3,1,4,0.233533,14.34127,1,0.094056,-0.013227
15,ASER,8,8,16,8,8,16,0.280576,814.589013,0,0.071767,-0.000735
18,ASHL,11,1,12,11,1,12,0.233068,222.401293,1,0.075507,0.000492
28,AVAL,5,19,24,5,19,24,0.422383,2621.50154,1,0.089526,0.001722
29,AVAR,4,17,21,4,17,21,0.427007,542.467298,1,0.090872,-0.000245
30,AVBL,5,15,20,5,15,20,0.362229,71.327426,1,0.069112,-0.004427
32,AVDL,3,10,13,3,10,13,0.358896,58.184531,1,0.061734,-0.001476
33,AVDR,3,12,15,3,12,15,0.375,24.701155,1,0.066378,-0.00147
38,AVJL,6,5,11,6,5,11,0.283981,237.514328,1,0.067636,-0.009346
39,AVJR,7,5,12,7,5,12,0.260579,155.574967,1,0.072992,-0.009798
43,AWBL,6,2,8,6,2,8,0.235412,148.717986,0,0.079196,-0.003935
81,RIPL,1,12,13,1,12,13,0.293233,163.256168,2,0.1215,-0.006641
116,SMDDL,3,15,18,3,15,18,0.423913,274.919579,3,0.072555,0.013281
7,AIAR,6,9,15,6,9,15,0.271462,499.420646,0,0.05903,0.011512
3,ADLR,15,3,18,15,3,18,0.231683,400.538376,1,0.083279,-0.011512
31,AVBR,5,16,21,5,16,21,0.392617,266.158158,1,0.071767,-0.006368
37,AVHR,9,3,12,9,3,12,0.235412,267.081272,1,0.076421,-0.012737
46,AWCR,4,7,11,4,7,11,0.247357,165.744345,0,0.078625,0.004164
66,OLLR,16,6,22,16,6,22,0.299233,920.12487,4,0.129082,-0.004409
75,RICL,10,9,19,10,9,19,0.305483,491.788327,1,0.055831,0.006149
76,RICR,6,12,18,6,12,18,0.313673,550.355079,4,0.052907,0.004899
10,AINR,6,2,8,6,2,8,0.189015,275.991883,0,0.061969,-0.003429
4,AFDL,1,3,4,1,3,4,0.222011,115.6921,0,0.086329,-0.002705
5,AFDR,1,3,4,1,3,4,0.221591,3.5,0,0.086463,-0.00098
16,ASGL,3,2,5,3,2,5,0.221591,121.701948,0,0.077966,-0.007624
24,ASKL,2,5,7,2,5,7,0.223709,236.4,0,0.088542,-0.010084
42,AWAR,7,3,10,7,3,10,0.238289,262.257789,0,0.07838,-0.005389
