Source,Target,Type,Weight
720575940629135378,720575940604868286,Directed,34
720575940629135378,720575940620080798,Directed,7
720575940629135378,720575940623861479,Directed,5
720575940629135378,720575940624136489,Directed,15
720575940629135378,720575940625962152,Directed,5
720575940629135378,720575940628668610,Directed,5
720575940629135378,720575940630773585,Directed,10
720575940629135378,720575940630894583,Directed,6
720575940629135378,720575940634655924,Directed,9
720575940616323101,720575940610161813,Directed,5
720575940616323101,720575940612330154,Directed,7
720575940616323101,720575940613829535,Directed,10
720575940616323101,720575940614026449,Directed,5
720575940616323101,720575940616545793,Directed,8
720575940616323101,720575940619067374,Directed,15
720575940616323101,720575940619141405,Directed,6
720575940616323101,720575940620919646,Directed,18
720575940616323101,720575940623956813,Directed,8
720575940616323101,720575940625875402,Directed,6
720575940616323101,720575940630541416,Directed,15
720575940616323101,720575940630591506,Directed,5
720575940616323101,720575940631426700,Directed,8
720575940616323101,720575940636938212,Directed,10
720575940616323101,720575940637745853,Directed,6
720575940616323101,720575940638302592,Directed,5
720575940616323101,720575940644615790,Directed,8
720575940626612254,720575940603676844,Directed,37
720575940626612254,720575940608745006,Directed,5
720575940626612254,720575940608982392,Directed,9
720575940626612254,720575940610069550,Directed,22
720575940626612254,720575940610147790,Directed,6
720575940626612254,720575940611211542,Directed,6
720575940626612254,720575940611679461,Directed,10
720575940626612254,720575940612131025,Directed,8
720575940626612254,720575940612421101,Directed,6
720575940626612254,720575940612760994,Directed,23
720575940626612254,720575940613151911,Directed,7
720575940626612254,720575940613550495,Directed,16
720575940626612254,720575940614736559,Directed,15
720575940626612254,720575940616324386,Directed,8
720575940626612254,720575940616511813,Directed,34
720575940626612254,720575940617077533,Directed,7
720575940626612254,720575940617812273,Directed,21
720575940626612254,720575940618050776,Directed,7
720575940626612254,720575940618388615,Directed,5
720575940626612254,720575940618970606,Directed,5
720575940626612254,720575940619259271,Directed,5
720575940626612254,720575940619584421,Directed,8
720575940626612254,720575940619673222,Directed,45
720575940626612254,720575940620327412,Directed,19
720575940626612254,720575940620350332,Directed,10
720575940626612254,720575940621019674,Directed,39
720575940626612254,720575940621132253,Directed,9
720575940626612254,720575940621139482,Directed,7
720575940626612254,720575940622651656,Directed,18
720575940626612254,720575940623217132,Directed,22
720575940626612254,720575940623242168,Directed,28
720575940626612254,720575940623290603,Directed,6
720575940626612254,720575940623450382,Directed,4
720575940626612254,720575940623536398,Directed,5
720575940626612254,720575940623861479,Directed,11
720575940626612254,720575940624093884,Directed,14
720575940626612254,720575940624136489,Directed,21
720575940626612254,720575940624381966,Directed,33
720575940626612254,720575940625392650,Directed,6
720575940626612254,720575940625667721,Directed,5
720575940626612254,720575940625750415,Directed,8
720575940626612254,720575940625816212,Directed,5
720575940626612254,720575940625962152,Directed,14
720575940626612254,720575940626205702,Directed,6
720575940626612254,720575940626343305,Directed,18
720575940626612254,720575940626485514,Directed,10
720575940626612254,720575940626605211,Directed,9
720575940626612254,720575940626849301,Directed,11
720575940626612254,720575940627241402,Directed,26
720575940626612254,720575940627669886,Directed,15
720575940626612254,720575940627675121,Directed,32
720575940626612254,720575940628014441,Directed,23
720575940626612254,720575940628029378,Directed,5
720575940626612254,720575940628104061,Directed,20
720575940626612254,720575940628165019,Directed,6
720575940626612254,720575940628168458,Directed,32
720575940626612254,720575940628621563,Directed,28
