Id,Label,cell_class,nt_type,primary_type,side,super_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,closnesscentrality,betweenesscentrality,modularity_class
720575940629135378,FB.1149,CX,ACH,vDeltaA_a,right,central,10,9,19,60,96,156,0.289035,3080.923358,4
720575940604868286,FB.70,CX,ACH,hDeltaD,left,central,142,62,204,1957,933,2890,0.319666,46925.649285,4
720575940620080798,FB.1157,CX,GLUT,FB9B,right,central,10,7,17,82,86,168,0.279818,714.789292,4
720575940623861479,FB.167,CX,GLUT,FB1I,left,central,63,78,141,576,728,1304,0.360163,102679.546998,4
720575940624136489,FB.73,CX,ACH,hDeltaD,right,central,136,74,210,2016,1085,3101,0.313437,53029.789576,4
720575940625962152,FB.46,CX,ACH,hDeltaD,left,central,139,76,215,2072,1170,3242,0.319817,60759.872855,4
720575940628668610,FB.970,CX,GLUT,FB9A,right,central,6,21,27,34,196,230,0.278702,798.201592,4
720575940630773585,FB.74,CX,ACH,hDeltaD,left,central,131,64,195,1938,1097,3035,0.309371,29858.595021,4
720575940630894583,FB.1256,CX,GLUT,FB9B,left,central,8,8,16,68,81,149,0.292075,504.590542,4
720575940634655924,FB.1146,CX,GLUT,FB9C,right,central,7,12,19,64,152,216,0.277747,525.914163,4
720575940616323101,FB.941,CX,ACH,FC1A,left,central,13,17,30,148,145,293,0.297651,414.686043,1
720575940610161813,FB.1139,CX,ACH,FC1C,left,central,18,8,26,119,69,188,0.29086,871.660349,1
720575940612330154,FB.30,CX,GLUT,FB2D,left,central,139,121,260,1268,1485,2753,0.376137,53572.168389,1
720575940613829535,FB.LAL.42,CX,ACH,PFL1,right,central,37,1,38,450,1,451,0.245281,52.082964,1
720575940614026449,FB.25,CX,GLUT,FB2D,left,central,154,115,269,1467,1393,2860,0.370906,45783.607455,1
720575940616545793,FB.28,CX,GLUT,FB2D,right,central,137,123,260,1372,1489,2861,0.375509,43131.387106,1
720575940619067374,FB.404,CX,unknown,FB2B,right,central,61,64,125,992,517,1509,0.305179,1285.663704,1
720575940619141405,FB.810,CX,ACH,FC1A,left,central,20,23,43,214,190,404,0.31841,1191.21664,1
720575940620919646,FB.165,CX,GLUT,FB2B,left,central,75,85,160,1179,742,1921,0.309135,3634.897249,1
720575940623956813,FB.1029,CX,ACH,FC1C,left,central,10,16,26,66,154,220,0.342341,1092.169031,1
720575940625875402,FB.357,CX,DA,FB2A,right,central,61,56,117,529,464,993,0.343909,28160.975423,1
720575940630541416,FB.866,CX,ACH,FC1C,right,central,32,8,40,252,64,316,0.282116,1040.979233,1
720575940630591506,FB.638,CX,ACH,FC3,left,central,22,29,51,170,272,442,0.315978,2461.711787,1
720575940631426700,FB.786,CX,ACH,FC3,right,central,17,26,43,144,255,399,0.32195,2578.468827,1
720575940636938212,FB.199,CX,GLUT,FB2B,left,central,73,102,175,1154,904,2058,0.314166,3586.376846,1
720575940637745853,FB.878,CX,ACH,FC1C,right,central,25,8,33,195,75,270,0.290943,599.191993,1
720575940638302592,FB.1362,CX,SER,FB4F,left,central,5,7,12,33,52,85,0.266956,113.565586,1
720575940644615790,FB.CRE.22,CX,ACH,FC1C,right,central,25,2,27,195,14,209,0.269118,227.664286,1
720575940626612254,FB.86,CX,GLUT,FB7B,right,central,81,89,170,1125,1303,2428,0.317662,13438.164933,4
720575940603676844,FB.213,CX,GLUT,FB7L,left,central,43,59,102,384,669,1053,0.317562,3857.233749,4
720575940608745006,FB.796,CX,GLUT,FB8G,right,central,27,25,52,172,452,624,0.269799,1763.022612,4
720575940608982392,FB.1087,CX,unknown,vDeltaB,left,central,13,19,32,104,206,310,0.287273,1405.319537,4
720575940610069550,FB.329,CX,GLUT,FB8B,right,central,38,47,85,494,567,1061,0.30003,3893.30939,4
720575940610147790,FB.1015,CX,unknown,vDeltaC,left,central,18,19,37,134,173,307,0.278625,973.046266,4
720575940611211542,FB.947,CX,ACH,vDeltaC,right,central,18,21,39,176,214,390,0.284691,822.180244,2
720575940611679461,FB.1068,CX,ACH,vDeltaB,right,central,17,21,38,140,212,352,0.294323,1527.845636,4
720575940612131025,FB.960,CX,SER,vDeltaB,right,central,17,18,35,135,204,339,0.285694,417.684898,4
720575940612421101,FB.729,CX,GLUT,FB8G,right,central,21,38,59,140,465,605,0.297127,812.367041,4
720575940612760994,SMP.FB.20,CX,GLUT,FB7A,right,central,22,60,82,305,1064,1369,0.312279,1734.634707,4
720575940613151911,SMP.FB.32,CX,GLUT,FB8I,right,central,15,22,37,105,298,403,0.287355,162.933397,4
720575940613550495,FB.225,CX,GLUT,FB1I,right,central,75,53,128,786,444,1230,0.333553,35085.315791,4
720575940614736559,SMP.FB.18,CX,GLUT,FB7A,left,central,22,77,99,288,1044,1332,0.312038,982.226153,2
720575940616324386,FB.1065,CX,unknown,vDeltaB,left,central,15,15,30,128,173,301,0.282076,449.327365,4
720575940616511813,FB.409,CX,GLUT,FB7K,left,central,24,52,76,282,683,965,0.310081,1436.986197,4
720575940617077533,FB.517,CX,GLUT,FB8C,right,central,30,34,64,684,607,1291,0.296042,1604.494343,4
720575940617812273,SMP.FB.22,CX,GLUT,FB7A,right,central,20,48,68,224,722,946,0.299012,623.125646,4
720575940618050776,FB.1107,CX,SER,vDeltaB,right,central,17,16,33,125,196,321,0.283536,575.157933,4
720575940618388615,FB.831,CX,ACH,FC2C,right,central,32,10,42,354,68,422,0.301772,2825.656418,2
720575940618970606,FB.1136,CX,SER,vDeltaB,left,central,22,12,34,145,140,285,0.285533,547.913319,4
720575940619259271,FB.348,CX,GLUT,FB7D,left,central,60,36,96,669,400,1069,0.280826,3592.779383,2
720575940619584421,FB.347,CX,GLUT,FB7J,left,central,63,36,99,916,514,1430,0.301727,20804.215119,4
720575940619673222,FB.416,CX,GLUT,FB7K,left,central,25,60,85,266,787,1053,0.310604,2055.13312,4
720575940620327412,FB.153,CX,unknown,FB7H,left,central,86,66,152,999,736,1735,0.314361,14422.700667,4
720575940620350332,FB.976,CX,ACH,vDeltaB,right,central,17,20,37,163,244,407,0.291739,954.068021,4
720575940621019674,FB.81,CX,ACH,hDeltaE,right,central,131,59,190,2345,934,3279,0.307168,21870.72792,4
720575940621132253,FB.1062,CX,ACH,vDeltaB,right,central,14,19,33,136,193,329,0.287314,615.197174,4
720575940621139482,FB.64,CX,ACH,hDeltaD,right,central,135,70,205,1915,1117,3032,0.309088,66724.628314,4
720575940622651656,FB.396,CX,GLUT,FB8B,left,central,31,42,73,504,553,1057,0.333388,17082.67819,4
720575940623217132,FB.300,CX,GLUT,FB7L,left,central,37,50,87,344,830,1174,0.299365,1655.459367,4
720575940623242168,FB.115,CX,ACH,hDeltaE,right,central,126,51,177,2121,760,2881,0.320019,16248.079751,4
720575940623290603,FB.989,CX,unknown,vDeltaC,left,central,18,20,38,148,162,310,0.293385,998.571329,4
720575940623450382,FB.471,CX,GLUT,FB8A,right,central,20,48,68,167,629,796,0.299675,936.51295,4
720575940623536398,FB.277,CX,GLUT,FB6K,left,central,61,47,108,607,635,1242,0.310081,15910.651923,2
720575940624093884,FB.935,CX,unknown,vDeltaB,left,central,18,18,36,155,227,382,0.285413,1080.298697,4
720575940624381966,FB.75,CX,ACH,hDeltaE,right,central,129,57,186,2164,910,3074,0.310223,21273.957298,4
720575940625392650,FB.106,CX,ACH,hDeltaF,left,central,114,68,182,2140,661,2801,0.308008,13870.941262,2
720575940625667721,SMP.FB.19,CX,GLUT,FB6Z,right,central,32,63,95,365,913,1278,0.300474,707.50428,2
720575940625750415,FB.413,CX,GLUT,FB7J,right,central,55,33,88,768,442,1210,0.291236,9205.179028,4
720575940625816212,FB.874,CX,ACH,FC2C,right,central,35,6,41,387,44,431,0.297214,2064.48224,4
720575940626205702,FB.1098,CX,unknown,vDeltaB,right,central,11,15,26,82,170,252,0.289117,814.97035,4
720575940626343305,FB.105,CX,ACH,hDeltaE,left,central,124,54,178,2122,901,3023,0.30408,10574.253068,4
720575940626485514,SMP.FB.16,CX,GLUT,FB7A,right,central,17,96,113,231,1332,1563,0.315437,2573.483439,2
720575940626605211,FB.1028,CX,ACH,vDeltaB,right,central,15,18,33,119,217,336,0.288336,1113.588383,4
720575940626849301,FB.99,CX,ACH,hDeltaD,right,central,117,62,179,1846,1093,2939,0.304812,22669.384894,4
720575940627241402,FB.252,CX,GLUT,FB1I,left,central,68,61,129,690,529,1219,0.332132,25447.12456,4
720575940627669886,FB.972,CX,unknown,vDeltaB,left,central,16,21,37,147,233,380,0.289323,395.519368,4
720575940627675121,FB.102,CX,ACH,hDeltaE,right,central,132,53,185,2265,938,3203,0.302177,10674.483996,4
720575940628014441,SLP.FB.1,CX,GLUT,FB7A,left,central,23,50,73,262,1023,1285,0.308289,5144.784655,4
720575940628029378,FB.127,CX,ACH,hDeltaF,left,central,107,70,177,2120,683,2803,0.31199,12488.83385,2
720575940628104061,FB.449,CX,GLUT,FB8B,right,central,32,42,74,529,550,1079,0.303398,2485.794169,4
720575940628165019,FB.137,CX,GLUT,FB6G,left,central,43,122,165,553,1617,2170,0.324113,13940.731384,2
720575940628168458,FB.67,CX,ACH,hDeltaE,left,central,132,63,195,2353,964,3317,0.309891,20881.451996,4
720575940628621563,FB.341,CX,GLUT,FB7K,right,central,21,63,84,225,732,957,0.314556,1823.098611,4
720575940628809687,SMP.FB.6,CX,GLUT,FB7A,left,central,20,90,110,289,1186,1475,0.308759,1288.122223,4
720575940629506012,FB.111,CX,ACH,hDeltaD,left,central,122,55,177,2074,1097,3171,0.310842,31907.473784,4
720575940630007237,SMP.FB.21,CX,GLUT,FB7L,right,central,34,48,82,285,705,990,0.307494,1450.434425,4
720575940630398551,FB.1021,CX,SER,vDeltaA_b,left,central,15,16,31,115,162,277,0.287192,1702.677174,4
720575940630411311,FB.1046,CX,ACH,vDeltaB,left,central,15,20,35,108,199,307,0.288008,522.342072,4
720575940630671953,FB.161,CX,unknown,FB7H,right,central,84,68,152,1069,746,1815,0.280865,5258.506074,4
720575940630769612,FB.1073,CX,ACH,vDeltaB,right,central,15,17,32,99,174,273,0.290276,489.127553,4
720575940630840493,FB.43,CX,GLUT,FB6H,right,central,109,100,209,1383,1557,2940,0.325884,22430.669886,2
720575940630900983,FB.923,CX,GLUT,FB8G,left,central,23,25,48,153,512,665,0.287436,534.869222,4
720575940630979748,FB.953,CX,ACH,vDeltaC,left,central,15,21,36,122,222,344,0.295524,741.771845,4
720575940630980409,SMP.FB.3,CX,GLUT,FB6G,right,central,35,114,149,508,1517,2025,0.304309,8524.445607,2
720575940631619384,FB.83,CX,ACH,hDeltaD,right,central,143,55,198,1961,867,2828,0.315486,35714.161207,4
720575940632735584,FB.353,CX,GLUT,FB7L,right,central,50,59,109,372,602,974,0.308759,5047.454128,4
720575940633537823,FB.823,CX,GLUT,FB8G,left,central,27,30,57,206,501,707,0.30495,2656.291214,4
720575940633676479,FB.513,CX,GLUT,FB8C,left,central,29,37,66,557,558,1115,0.296605,7612.569575,4
720575940633936279,FB.512,CX,GLUT,FB8A,left,central,19,48,67,144,656,800,0.309466,1033.091064,4
720575940634419051,FB.110,CX,ACH,hDeltaE,left,central,120,64,184,1742,867,2609,0.312519,22353.385042,4
720575940634489592,FB.733,CX,ACH,FC2C,left,central,28,11,39,328,99,427,0.30043,2219.292098,2
720575940635640974,FB.232,CX,GLUT,FB7L,right,central,54,54,108,517,677,1194,0.308148,3771.575973,4
720575940635969758,FB.101,CX,ACH,hDeltaF,right,central,113,80,193,2594,978,3572,0.315585,22756.451623,2
720575940636143796,FB.1089,CX,unknown,vDeltaB,left,central,13,18,31,106,168,274,0.285493,372.701431,4
720575940636345707,FB.278,CX,GLUT,FB1I,right,central,61,60,121,564,497,1061,0.335152,27727.04867,4
