Id,Label,cell_class,name,nt_type,primary_type,side,super_class
720575940629135378,FB.1149,CX,FB.1149,ACH,vDeltaA_a,right,central
720575940616323101,FB.941,CX,FB.941,ACH,FC1A,left,central
720575940626612254,FB.86,CX,FB.86,GLUT,FB7B,right,central
720575940645273652,FB.1056,CX,FB.1056,GLUT,FB6U,right,central
720575940616896581,FB.1209,CX,FB.1209,ACH,vDeltaL,right,central
720575940619157595,FB.770,CX,FB.770,ACH,FC1C,left,central
720575940608278620,FB.7,CX,FB.7,GLUT,FB6A_c,right,central
720575940625301604,FB.270,CX,FB.270,GLUT,CB4171,right,central
720575940626382973,FB.1321,CX,FB.1321,ACH,vDeltaL,left,central
720575940619141254,FB.129,CX,FB.129,ACH,hDeltaB,right,central
720575940623466632,EB.126,CX,EB.126,GABA,ER4d,left,central
720575940605591730,NO.204,CX,NO.204,unknown,PFNp,left,central
720575940604969161,AOTU.FB.17,TuBu,AOTU.FB.17,ACH,TuBu03,right,central
720575940621172941,AOTU.FB.53,TuBu,AOTU.FB.53,ACH,TuBu04,left,central
720575940607246549,EB.297,CX,EB.297,GABA,ER3d,left,central
720575940631625953,FB.999,CX,FB.999,GLUT,FB1B,left,central
720575940639473909,NO.FB.20,CX,NO.FB.20,ACH,PFNd,right,central
720575940623450382,FB.471,CX,FB.471,GLUT,FB8A,right,central
720575940611211542,FB.947,CX,FB.947,ACH,vDeltaC,right,central
720575940624417052,FB.806,CX,FB.806,ACH,FC1A,right,central
720575940619141405,FB.810,CX,FB.810,ACH,FC1A,left,central
720575940632052010,FB.1333,CX,FB.1333,unknown,hDeltaC,left,central
720575940630692143,FB.760,CX,FB.760,unknown,hDeltaJ,left,central
720575940630020409,FB.531,CX,FB.531,ACH,hDeltaJ,right,central
720575940625678650,FB.469,CX,FB.469,ACH,FC2B,right,central
720575940629315900,FB.1194,CX,FB.1194,ACH,vDeltaA_a,right,central
720575940631822663,AOTU.FB.13,TuBu,AOTU.FB.13,ACH,TuBu03,right,central
720575940619469147,FB.978,CX,FB.978,GLUT,FB2K,right,central
720575940607263068,NO.FB.127,CX,NO.FB.127,unknown,unknown,right,central
720575940634280288,FB.79,CX,FB.79,unknown,FB5K,left,central
720575940609261922,FB.696,CX,FB.696,ACH,vDeltaF,left,central
720575940621255011,FB.827,CX,FB.827,ACH,vDeltaE,right,central
720575940635869541,FB.1219,CX,FB.1219,ACH,vDeltaL,right,central
720575940634313071,FB.39,CX,FB.39,ACH,hDeltaG,left,central
720575940622156148,FB.MB_ML.3,CX,FB.MB_ML.3,SER,PFR,left,central
720575940638310784,FB.636,CX,FB.636,ACH,FC1A,left,central
720575940645405060,FB.1310,CX,FB.1310,ACH,vDeltaM,right,central
720575940627054988,FB.868,CX,FB.868,ACH,vDeltaD,right,central
720575940631347596,FB.66,CX,FB.66,ACH,hDeltaG,left,central
720575940623712656,FB.560,CX,FB.560,ACH,FC2B,right,central
720575940621074835,EB.159,CX,EB.159,ACH,PEN_a/PEN1,left,central
720575940633936279,FB.512,CX,FB.512,GLUT,FB8A,left,central
720575940631413156,FB.242,CX,FB.242,ACH,FC2A,left,central
720575940614308283,FB.814,CX,FB.814,ACH,FC1C,right,central
720575940616913339,FB.SMP.1,CX,FB.SMP.1,GLUT,FB8F_b,right,central
720575940617241019,FB.289,CX,FB.289,unknown,FB5K,right,central
720575940614013382,FB.544,CX,FB.544,ACH,FC3,right,central
720575940625875402,FB.357,CX,FB.357,DA,FB2A,right,central
720575940612243918,CRE.FB.5,CX,CRE.FB.5,GLUT,FB4O,left,central
720575940606951893,EB.154,CX,EB.154,GABA,ER2,left,central
720575940607001045,FB.SMP.8,CX,FB.SMP.8,GLUT,FB8F_a,right,central
720575940635886057,FB.1144,CX,FB.1144,ACH,vDeltaA_a,right,central
720575940651565558,FB.573,CX,FB.573,GLUT,FB7E,right,central
720575940629823993,FB.969,CX,FB.969,unknown,vDeltaD,left,central
720575940628382203,FB.369,CX,FB.369,GLUT,FB2G_a,left,central
720575940627104259,FB.704,CX,FB.704,ACH,FC1C,left,central
720575940619829765,EB.280,CX,EB.280,GABA,ER3d,right,central
720575940630463007,FB.1353,CX,FB.1353,ACH,vDeltaA_a,right,central
