Id,avg_out_hitting_time,rw_out_closeness,out_truncated_runs,out_stuck_runs,out_total_runs,out_truncation_rate,avg_in_hitting_time,rw_in_closeness,in_truncated_runs,in_stuck_runs,in_total_runs,in_truncation_rate,Label,modularity_class,classic_name,normal_in_closeness,normal_out_closeness,normal_betweenness,rw_betweenness_name,rw_betweenness
0,2091.2695,0.0004781784461543,0,0,2000,0.0,67.9085,0.0147256970776854,0,0,2000,0.0,ADFL,1,0,0.231263,0.346154,0.004076,ADFL,0.025308
1,9552.58,0.0001046837608269,91,0,2000,0.0455,98.7725,0.0101242754815358,0,0,2000,0.0,ADFR,0,1,0.255319,0.333333,0.015638,ADFR,0.045018
2,3122.5255,0.0003202535896023,6,0,2000,0.003,20.3465,0.0491485021993954,0,0,2000,0.0,ADLL,1,2,0.303371,0.387097,0.039206,ADLL,0.064028
3,477.0065,0.0020964074913025,0,0,2000,0.0,53.5005,0.0186914140989336,0,0,2000,0.0,ADLR,1,3,0.22833,0.372414,0.027012,ADLR,0.050779
4,1549.002,0.0006455769585836,0,0,2000,0.0,403.309,0.0024794884319467,0,0,2000,0.0,AFDL,0,4,0.219067,0.227368,0.0,AFDL,0.006591
5,3413.227,0.0002929778769475,9,0,2000,0.0045,438.13,0.0022824275899847,0,0,2000,0.0,AFDR,0,5,0.218182,0.240535,0.0,AFDR,0.005314
6,2867.8225,0.0003486966156378,0,0,2000,0.0,80.205,0.0124680506202855,0,0,2000,0.0,AIAL,0,6,0.27907,0.325301,0.019834,AIAL,0.054559
7,1436.5685,0.0006961032488182,0,0,2000,0.0,60.273,0.0165911768121712,0,0,2000,0.0,AIAR,0,7,0.265356,0.315789,0.003943,AIAR,0.036916
8,3288.2165,0.0003041162283566,27,0,2000,0.0135,249.5975,0.00400645038512,0,0,2000,0.0,AIBR,0,8,0.364865,0.280519,0.053165,AIBR,0.086597
10,9214.6895,0.0001085223761473,94,0,2000,0.047,206.4305,0.0048442453997834,0,0,2000,0.0,AINR,0,10,0.186851,0.293478,0.023823,AINR,0.053775
11,5594.449,0.0001787486131341,26,0,2000,0.013,30.103,0.033219280470385,0,0,2000,0.0,AIZL,0,11,0.27204,0.412214,0.032134,AIZL,0.051558
