node,name,rw_betweenness
78,RIH,0.09097
8,AIBR,0.086597
72,RIAR,0.082761
71,RIAL,0.082237
35,AVER,0.075192
15,ASER,0.069408
2,ADLL,0.064028
73,RIBL,0.061944
34,AVEL,0.060759
28,AVAL,0.060506
31,AVBR,0.060192
75,RICL,0.056519
76,RICR,0.055282
6,AIAL,0.054559
80,RIMR,0.054412
10,AINR,0.053775
18,ASHL,0.053769
30,AVBL,0.053619
11,AIZL,0.051558
3,ADLR,0.050779
66,OLLR,0.050313
83,RIR,0.049966
79,RIML,0.04901
81,RIPL,0.048562
89,RMDR,0.047315
50,CEPDR,0.047173
49,CEPDL,0.047008
29,AVAR,0.046398
126,URXR,0.045547
1,ADFR,0.045018
52,CEPVR,0.04409
87,RMDDR,0.043396
24,ASKL,0.043223
88,RMDL,0.042728
12,AIZR,0.04257
90,RMDVL,0.041051
95,RMEV,0.04102
116,SMDDL,0.040229
65,OLLL,0.039862
56,IL1R,0.039471
42,AWAR,0.039112
14,ASEL,0.037329
7,AIAR,0.036916
92,RMED,0.036786
51,CEPVL,0.036319
74,RIBR,0.035975
117,SMDDR,0.035711
82,RIPR,0.035483
112,SMBDL,0.034751
113,SMBDR,0.03396
48,BAGR,0.033921
45,AWCL,0.032293
36,AVHL,0.031554
33,AVDR,0.031478
44,AWBR,0.030515
20,ASIL,0.02993
101,SAADR,0.028971
46,AWCR,0.027792
62,IL2R,0.027342
19,ASHR,0.027262
55,IL1L,0.02708
63,IL2VL,0.026998
32,AVDL,0.026568
37,AVHR,0.026239
124,URBR,0.025636
0,ADFL,0.025308
115,SMBVR,0.024809
69,OLQVL,0.024391
39,AVJR,0.024235
70,OLQVR,0.02332
118,SMDVR,0.023289
84,RIVL,0.023185
85,RIVR,0.022969
26,AUAL,0.022859
123,URBL,0.022482
64,IL2VR,0.022396
130,URYVR,0.02211
57,IL1VL,0.021644
58,IL1VR,0.021584
127,URYDL,0.021378
128,URYDR,0.02123
125,URXL,0.021215
122,URAVR,0.020907
38,AVJL,0.020076
129,URYVL,0.019235
43,AWBL,0.018927
114,SMBVL,0.018356
27,AUAR,0.018024
16,ASGL,0.01687
120,URADR,0.01568
17,ASGR,0.015352
100,SAADL,0.015181
97,RMFR,0.015064
68,OLQDR,0.014839
102,SAAVL,0.014828
53,IL1DL,0.014721
67,OLQDL,0.012912
103,SAAVR,0.011215
119,URADL,0.011029
121,URAVL,0.010397
13,ALA,0.010296
77,RID,0.009972
54,IL1DR,0.009753
98,RMHL,0.009497
96,RMFL,0.007146
4,AFDL,0.006591
5,AFDR,0.005314
40,AVL,0.004677
22,ASJL,0.0
