node,name,in_closeness,out_closeness,betweenness
0,0,0.231263,0.346154,0.004076
1,1,0.255319,0.333333,0.015638
10,10,0.186851,0.293478,0.023823
100,100,0.300836,0.274809,0.003057
101,101,0.332308,0.293478,0.010298
102,102,0.277635,0.313043,0.001915
103,103,0.271357,0.26799,0.000537
11,11,0.27204,0.412214,0.032134
112,112,0.277635,0.24714,0.013167
113,113,0.290323,0.276923,0.011658
114,114,0.230277,0.22547,0.003573
115,115,0.273418,0.234783,0.004707
116,116,0.425197,0.233766,0.017728
117,117,0.388489,0.233261,0.013706
118,118,0.389892,0.240535,0.003343
119,119,0.201869,0.181818,0.000483
12,12,0.257757,0.327273,0.021058
120,120,0.212181,0.231263,0.002144
121,121,0.209709,0.176183,0.00071
122,122,0.246014,0.226415,0.002228
123,123,0.2,0.285714,0.00432
124,124,0.211765,0.320475,0.005634
125,125,0.209302,0.277635,0.003577
126,126,0.273418,0.309456,0.020133
127,127,0.223602,0.236324,0.002044
128,128,0.213439,0.274112,0.005529
129,129,0.195652,0.355263,0.004186
13,13,0.234273,0.228814,0.000988
130,130,0.230769,0.313043,0.00481
14,14,0.220859,0.341772,0.010766
15,15,0.277635,0.315789,0.031954
16,16,0.218623,0.259615,0.000673
17,17,0.251748,0.271357,0.001824
18,18,0.233766,0.354098,0.038807
19,19,0.209709,0.332308,0.005126
2,2,0.303371,0.387097,0.039206
20,20,0.214286,0.333333,0.003979
22,22,0.181513,0.198529,0.0
24,24,0.221311,0.24714,0.020391
26,26,0.272727,0.270677,0.002787
27,27,0.259615,0.298343,0.001298
28,28,0.423529,0.285714,0.032968
29,29,0.425197,0.225941,0.017344
3,3,0.22833,0.372414,0.027012
30,30,0.363636,0.187175,0.022325
31,31,0.391304,0.226415,0.025586
32,32,0.36,0.22547,0.003902
33,33,0.375,0.186528,0.006385
34,34,0.423529,0.223602,0.032508
35,35,0.416988,0.185249,0.046687
36,36,0.213018,0.334365,0.007584
37,37,0.234783,0.339623,0.005452
38,38,0.285714,0.27907,0.002857
39,39,0.258993,0.263415,0.003208
4,4,0.219067,0.227368,0.0
40,40,0.293478,0.156977,3.7e-05
42,42,0.234273,0.316716,0.010361
43,43,0.234273,0.342857,0.003104
44,44,0.220859,0.328267,0.005606
45,45,0.226891,0.325301,0.007976
46,46,0.242697,0.303371,0.002533
48,48,0.252927,0.272727,0.012428
49,49,0.249423,0.305085,0.025365
5,5,0.218182,0.240535,0.0
50,50,0.266667,0.327273,0.021683
51,51,0.248276,0.371134,0.018006
52,52,0.314869,0.345048,0.019688
53,53,0.206501,0.206897,0.000666
54,54,0.26087,0.163389,0.000367
55,55,0.216433,0.231263,0.0065
56,56,0.308571,0.264706,0.013384
57,57,0.242697,0.271357,0.002392
58,58,0.258993,0.271357,0.001618
6,6,0.27907,0.325301,0.019834
62,62,0.266667,0.357616,0.005225
63,63,0.214286,0.350649,0.006947
64,64,0.246014,0.348387,0.004149
65,65,0.257757,0.340694,0.011993
66,66,0.298343,0.330275,0.027479
67,67,0.264059,0.217304,0.00065
68,68,0.260241,0.236842,0.001324
69,69,0.27204,0.349515,0.005361
7,7,0.265356,0.315789,0.003943
70,70,0.276923,0.341772,0.002675
71,71,0.425197,0.25,0.065967
72,72,0.420233,0.299169,0.054327
73,73,0.338558,0.27907,0.046047
74,74,0.318584,0.343949,0.011636
75,75,0.305085,0.300836,0.031277
76,76,0.310345,0.271357,0.02831
77,77,0.159057,0.222222,0.00099
78,78,0.298343,0.465517,0.077788
79,79,0.345048,0.302521,0.022335
8,8,0.364865,0.280519,0.053165
80,80,0.346154,0.328267,0.023156
81,81,0.291892,0.1797,0.021372
82,82,0.290323,0.193202,0.008911
83,83,0.248276,0.364865,0.021767
84,84,0.322388,0.268657,0.003716
85,85,0.323353,0.264059,0.004746
87,87,0.371134,0.188153,0.017735
88,88,0.375,0.26601,0.017117
89,89,0.391304,0.238938,0.02589
90,90,0.36,0.231263,0.015264
92,92,0.255319,0.280519,0.014902
95,95,0.308571,0.190141,0.015861
96,96,0.276215,0.210938,0.000224
97,97,0.281984,0.232258,0.001063
98,98,0.217304,0.194245,0.00075
