Id,avg_in_hitting_time,rw_in_closeness,in_truncated_runs,in_stuck_runs,in_total_runs,in_truncation_rate
78,16.698,0.05988741166606779,0,0,2000,0.0
2,20.3465,0.049148502199395476,0,0,2000,0.0
51,26.294,0.038031490073781093,0,0,2000,0.0
11,30.103,0.03321928047038501,0,0,2000,0.0
65,39.548,0.025285728734702133,0,0,2000,0.0
69,42.986,0.02326338807983995,0,0,2000,0.0
28,49.8995,0.020040280964739126,0,0,2000,0.0
66,51.663,0.019356212376362196,0,0,2000,0.0
3,53.5005,0.018691414098933653,0,0,2000,0.0
62,56.7205,0.01763031002900186,0,0,2000,0.0
