Id,avg_out_hitting_time,rw_out_closeness,out_truncated_runs,out_stuck_runs,out_total_runs,out_truncation_rate,avg_in_hitting_time,rw_in_closeness,in_truncated_runs,in_stuck_runs,in_total_runs,in_truncation_rate,Label,modularity_class,classic_name,normal_in_closeness,normal_out_closeness,normal_betweenness,rw_betweenness_name,rw_betweenness
720575940602747360,36679.2525,2.726336912127639e-05,85,0,400,0.2125,941.1875,0.001062487548974,0,0,400,0.0,FB.382,3,FB.382,3.201592,3.886401,0.001047,FB.382,0.003295
720575940602783968,50127.925,1.9948960584344953e-05,156,0,400,0.39,26192.3775,3.81790465565793e-05,5,0,400,0.0125,EB.310,4,EB.310,0.770835,2.351321,0.0,EB.310,0.000332
720575940602800608,33830.7925,2.9558870073764895e-05,99,0,400,0.2475,14058.215,7.11327860613883e-05,0,0,400,0.0,FB.1214,3,FB.1214,2.797575,3.536564,0.0,FB.1214,0.000629
720575940602831328,27748.92,3.6037438574185955e-05,67,0,400,0.1675,2959.54,0.0003378903478243,0,0,400,0.0,FB.665,0,FB.665,3.110335,3.770895,0.000947,FB.665,0.002098
720575940602920364,23573.025,4.2421369340591625e-05,70,0,400,0.175,4482.1275,0.000223108334156,0,0,400,0.0,FB.545,0,FB.545,3.33356,3.960426,6.7e-05,FB.545,0.002773
720575940603048108,34026.6075,2.938876583567727e-05,92,0,400,0.23,1122.4075,0.0008909420152662,0,0,400,0.0,FB.363,3,FB.363,2.945535,4.004306,1.1e-05,FB.363,0.002821
720575940603197408,28047.9825,3.5653188246249086e-05,70,0,400,0.175,13334.6125,7.499280537773408e-05,0,0,400,0.0,FB.350,1,FB.350,3.083123,2.672765,5.6e-05,FB.350,0.003265
720575940603238828,48486.1775,2.062443466491043e-05,156,0,400,0.39,38994.375,2.564472439935247e-05,44,0,400,0.11,FB.1120,3,FB.1120,2.864519,3.561275,0.0,FB.1120,0.000633
720575940603409632,40688.475,2.4576984023117113e-05,135,0,400,0.3375,99766.945,1.0023359941511687e-05,399,0,400,0.9975,NO.239,4,NO.239,2.037229,1.483938,0.0,NO.239,0.000165
720575940603676774,49228.8075,2.0313309437771776e-05,151,0,400,0.3775,63647.4225,1.571155532653345e-05,153,0,400,0.3825,FB.1361,3,FB.1361,2.148447,3.182081,0.0,FB.1361,0.000419
720575940603676844,26265.96,3.807209026435737e-05,67,0,400,0.1675,8104.335,0.0001233907532203,0,0,400,0.0,FB.213,4,FB.213,3.298903,3.784938,0.00097,FB.213,0.004591
720575940603731168,31765.4825,3.14807118072266e-05,74,0,400,0.185,676.485,0.0014782293768524,0,0,400,0.0,FB.331,2,FB.331,3.060791,3.896253,0.0,FB.331,0.002969
720575940603807422,30376.645,3.292002787009559e-05,84,0,400,0.21,23188.07,4.312562451294998e-05,11,0,400,0.0275,FB.1141,4,FB.1141,3.008573,3.046325,0.0,FB.1141,0.000582
720575940603844017,40409.2425,2.4746813801322805e-05,131,0,400,0.3275,43394.74,2.3044267577130315e-05,46,0,400,0.115,FB.1351,3,FB.1351,2.613406,3.567832,0.0,FB.1351,0.000937
720575940603925280,35128.8675,2.846661652272166e-05,107,0,400,0.2675,4840.6,0.0002065859604181,0,0,400,0.0,FB.1213,2,FB.1213,2.401121,3.715191,0.0,FB.1213,0.000514
720575940603932448,34050.3925,2.9368237091540137e-05,105,0,400,0.2625,6376.5975,0.0001568234469872,0,0,400,0.0,FB.157,3,FB.157,4.165278,3.977536,0.03538,FB.157,0.020099
720575940603943456,46947.8675,2.13002219962387e-05,139,0,400,0.3475,93369.245,1.0710164787130924e-05,351,0,400,0.8775,FB.1422,4,FB.1422,2.380326,2.03295,0.0,FB.1422,0.000291
720575940603964774,48092.1125,2.0793430523560384e-05,141,0,400,0.3525,14517.99,6.888005846539362e-05,0,0,400,0.0,EB.287,5,EB.287,0.718646,1.632411,0.000982,EB.287,0.00126
720575940604019424,24028.43,4.1617367426835625e-05,64,0,400,0.16,239.96,0.0041673612268711,0,0,400,0.0,FB.80,3,FB.80,3.233933,4.557414,0.007146,FB.80,0.010754
720575940604064958,18671.535,5.35574605944289e-05,48,0,400,0.12,2418.3325,0.0004135080680592,0,0,400,0.0,FB.962,2,FB.962,2.662743,4.149537,0.0,FB.962,0.001622
720575940604065470,29892.04,3.345372212803141e-05,89,0,400,0.2225,30616.99,3.266160390031809e-05,12,0,400,0.03,FB.1016,1,FB.1016,2.690402,2.703847,1.9e-05,FB.1016,0.001161
720575940604067761,39101.185,2.5574672481153702e-05,116,0,400,0.29,8331.295,0.0001200293591812,0,0,400,0.0,FB.632,1,FB.632,3.009993,3.455753,0.000711,FB.632,0.002603
720575940604074174,38904.9775,2.570365192988481e-05,120,0,400,0.3,5078.9625,0.0001968906051186,0,0,400,0.0,FB.600,2,FB.600,3.063392,3.432193,0.0,FB.600,0.002499
720575940604110513,29749.33,3.361420240388607e-05,87,0,400,0.2175,6572.62,0.0001521463282526,0,0,400,0.0,FB.130,3,FB.130,4.202863,3.981347,0.015847,FB.130,0.013661
720575940604125105,40815.2675,2.450063569961902e-05,127,0,400,0.3175,28958.875,3.45317281835016e-05,19,0,400,0.0475,FB.1119,1,FB.1119,2.942669,2.450219,1e-06,FB.1119,0.000565
720575940604278705,19925.545,5.018683303267239e-05,53,0,400,0.1325,81187.7525,1.231712874426472e-05,257,0,400,0.6425,AOTU.FB.37,4,AOTU.FB.37,2.200941,2.635026,0.0,AOTU.FB.37,0.000436
720575940604349630,30224.6275,3.308560213024958e-05,79,0,400,0.1975,7253.2,0.0001378701814371,0,0,400,0.0,FB.458,2,FB.458,2.944511,3.125846,0.0,FB.458,0.002124
720575940604444081,22521.015,4.440297206853244e-05,44,0,400,0.11,7924.0275,0.0001261984514819,0,0,400,0.0,FB.535,1,FB.535,3.42796,2.749536,0.003663,FB.535,0.002349
720575940604451505,19144.625,5.223398212291962e-05,44,0,400,0.11,313.3825,0.0031909886480578,0,0,400,0.0,FB.32,0,FB.32,3.174959,4.337702,9.4e-05,FB.32,0.005898
