node,name,rw_betweenness
720575940640749939,EB.1,0.033427
720575940615101747,EB.2,0.030526
720575940625649214,FB.5,0.028209
720575940604868286,FB.70,0.027308
720575940631619384,FB.83,0.025101
720575940620346795,FB.6,0.024643
720575940625962152,FB.46,0.024548
720575940636923108,FB.95,0.024112
720575940639278399,EB.3,0.023792
720575940617387732,FB.14,0.023489
720575940609375580,FB.4,0.023374
720575940624136489,FB.73,0.023212
720575940629506012,FB.111,0.022113
720575940627264062,SMP.FB.1,0.021947
720575940627899900,FB.158,0.021887
720575940614230499,FB.117,0.021418
720575940630520314,FB.98,0.021243
720575940621768385,FB.188,0.020832
720575940603932448,FB.157,0.020099
720575940630773585,FB.74,0.019763
720575940619544779,FB.1,0.019607
720575940610980932,FB.8,0.019462
720575940626849301,FB.99,0.019253
720575940621139482,FB.64,0.018699
720575940625455247,FB.2,0.01828
720575940631449411,FB.9,0.018234
720575940632212039,FB.10,0.017795
720575940628793982,FB.3,0.017776
720575940613490841,FB.131,0.017688
720575940620032123,FB.11,0.017225
720575940617232017,FB.23,0.017201
720575940632891106,FB.156,0.016633
720575940635969758,FB.101,0.016502
720575940617784118,FB.159,0.016436
720575940639410291,FB.15,0.016402
720575940638027497,FB.18,0.016123
720575940632651219,FB.52,0.015831
720575940623199070,FB.182,0.015735
720575940630007916,FB.145,0.015274
720575940627675121,FB.102,0.015031
720575940627159498,FB.282,0.014907
720575940630941994,FB.148,0.014814
720575940619141254,FB.129,0.01457
720575940605379506,FB.45,0.014479
720575940636455280,EB.FB.1,0.014212
720575940618844757,FB.135,0.014168
720575940628003739,FB.38,0.014126
720575940621019674,FB.81,0.014082
720575940637303415,FB.109,0.014069
720575940626812777,FB.139,0.014039
720575940608278620,FB.7,0.013889
720575940604110513,FB.130,0.013661
720575940619237985,FB.63,0.013598
720575940638114357,FB.50,0.013575
720575940623004711,FB.126,0.013539
720575940620012020,FB.91,0.013429
720575940616824118,FB.27,0.013429
720575940635319663,FB.138,0.013381
720575940616728038,FB.146,0.013241
720575940628050950,FB.16,0.013126
720575940628168458,FB.67,0.013103
720575940623242168,FB.115,0.013084
720575940634313071,FB.39,0.012702
720575940625850938,FB.114,0.012699
720575940634419051,FB.110,0.012659
720575940639404416,FB.59,0.012625
720575940624381966,FB.75,0.012602
720575940608208835,FB.37,0.012444
720575940631991507,FB.144,0.012408
720575940626343305,FB.105,0.012347
720575940616410171,FB.56,0.012346
720575940625392650,FB.106,0.012323
720575940621709388,FB.48,0.012309
720575940621268830,EB.FB.3,0.012264
720575940630444625,FB.65,0.012132
720575940604612832,FB.60,0.012124
720575940605583136,FB.31,0.012105
720575940633437176,FB.51,0.011978
720575940633620132,EB.FB.2,0.011942
720575940619913221,FB.69,0.011886
720575940623973837,EB.55,0.011856
720575940631347596,FB.66,0.011817
720575940629039660,FB.57,0.011803
720575940629113388,FB.180,0.011597
720575940636069348,FB.71,0.011587
720575940610894450,FB.78,0.011511
720575940620028513,FB.68,0.011278
720575940623649097,FB.33,0.01125
720575940612330154,FB.30,0.011165
720575940620841310,FB.61,0.011141
720575940614026449,FB.25,0.010981
720575940619683311,FB.62,0.01095
720575940632742099,EB.FB.4,0.010904
720575940628029378,FB.127,0.01087
720575940624290232,FB.17,0.010852
720575940617244347,FB.36,0.010796
720575940604019424,FB.80,0.010754
720575940627782014,FB.132,0.010734
720575940608783452,FB.47,0.010724
720575940637899197,AOTU.FB.2,0.010676
720575940640486973,FB.20,0.010671
720575940643408164,FB.92,0.010641
720575940623861479,FB.167,0.010591
720575940616545793,FB.28,0.01058
720575940616617940,FB.113,0.010543
720575940612734066,FB.13,0.010542
720575940628527247,FB.12,0.010516
720575940621595888,FB.29,0.010119
720575940631508255,FB.88,0.009904
720575940622471721,FB.97,0.009792
720575940631257647,FB.90,0.009671
720575940621782125,FB.87,0.009629
720575940630590255,FB.89,0.009626
720575940650510070,FB.24,0.00961
720575940633909600,FB.116,0.009577
720575940620159398,FB.76,0.00951
720575940624469444,AOTU.FB.1,0.009419
720575940620130032,FB.21,0.009374
720575940618308987,FB.22,0.009342
720575940615612066,FB.42,0.009334
720575940637729370,FB.119,0.009327
720575940636313701,FB.93,0.00932
720575940614017534,FB.108,0.009269
720575940622462173,FB.19,0.009262
720575940624888880,FB.84,0.009227
720575940623897955,FB.351,0.009064
