Id,avg_out_hitting_time,rw_out_closeness,out_truncated_runs,out_stuck_runs,out_total_runs,out_truncation_rate,avg_in_hitting_time,rw_in_closeness,in_truncated_runs,in_stuck_runs,in_total_runs,in_truncation_rate
720575940602747360,36679.2525,2.7263369121276394e-05,85,0,400,0.2125,941.1875,0.0010624875489740355,0,0,400,0.0
720575940602783968,50127.925,1.9948960584344953e-05,156,0,400,0.39,26192.3775,3.81790465565793e-05,5,0,400,0.0125
720575940602800608,33830.7925,2.9558870073764898e-05,99,0,400,0.2475,14058.215,7.11327860613883e-05,0,0,400,0.0
720575940602831328,27748.92,3.6037438574185955e-05,67,0,400,0.1675,2959.54,0.00033789034782432406,0,0,400,0.0
720575940602920364,23573.025,4.2421369340591625e-05,70,0,400,0.175,4482.1275,0.00022310833415604533,0,0,400,0.0
720575940603048108,34026.6075,2.938876583567727e-05,92,0,400,0.23,1122.4075,0.0008909420152662914,0,0,400,0.0
720575940603197408,28047.9825,3.5653188246249086e-05,70,0,400,0.175,13334.6125,7.499280537773408e-05,0,0,400,0.0
720575940603238828,48486.1775,2.062443466491043e-05,156,0,400,0.39,38994.375,2.564472439935247e-05,44,0,400,0.11
720575940603409632,40688.475,2.4576984023117113e-05,135,0,400,0.3375,99766.945,1.0023359941511689e-05,399,0,400,0.9975
720575940603676774,49228.8075,2.0313309437771776e-05,151,0,400,0.3775,63647.4225,1.571155532653345e-05,153,0,400,0.3825
720575940603676844,26265.96,3.807209026435737e-05,67,0,400,0.1675,8104.335,0.0001233907532203444,0,0,400,0.0
720575940603731168,31765.4825,3.14807118072266e-05,74,0,400,0.185,676.485,0.0014782293768524062,0,0,400,0.0
720575940603807422,30376.645,3.292002787009559e-05,84,0,400,0.21,23188.07,4.312562451294998e-05,11,0,400,0.0275
720575940603844017,40409.2425,2.4746813801322805e-05,131,0,400,0.3275,43394.74,2.3044267577130315e-05,46,0,400,0.115
720575940603925280,35128.8675,2.846661652272166e-05,107,0,400,0.2675,4840.6,0.00020658596041812997,0,0,400,0.0
