node,name,in_closeness,out_closeness,betweenness
720575940602747360,FB.382,3.201592,3.886401,0.001047
720575940602783968,EB.310,0.770835,2.351321,0.0
720575940602800608,FB.1214,2.797575,3.536564,0.0
720575940602831328,FB.665,3.110335,3.770895,0.000947
720575940602920364,FB.545,3.33356,3.960426,6.7e-05
720575940603048108,FB.363,2.945535,4.004306,1.1e-05
720575940603197408,FB.350,3.083123,2.672765,5.6e-05
720575940603238828,FB.1120,2.864519,3.561275,0.0
720575940603409632,NO.239,2.037229,1.483938,0.0
720575940603676774,FB.1361,2.148447,3.182081,0.0
720575940603676844,FB.213,3.298903,3.784938,0.00097
720575940603731168,FB.331,3.060791,3.896253,0.0
720575940603807422,FB.1141,3.008573,3.046325,0.0
720575940603844017,FB.1351,2.613406,3.567832,0.0
720575940603925280,FB.1213,2.401121,3.715191,0.0
720575940603932448,FB.157,4.165278,3.977536,0.03538
720575940603943456,FB.1422,2.380326,2.03295,0.0
720575940603964774,EB.287,0.718646,1.632411,0.000982
720575940604019424,FB.80,3.233933,4.557414,0.007146
720575940604064958,FB.962,2.662743,4.149537,0.0
720575940604065470,FB.1016,2.690402,2.703847,1.9e-05
720575940604067761,FB.632,3.009993,3.455753,0.000711
720575940604074174,FB.600,3.063392,3.432193,0.0
720575940604110513,FB.130,4.202863,3.981347,0.015847
720575940604125105,FB.1119,2.942669,2.450219,1e-06
720575940604278705,AOTU.FB.37,2.200941,2.635026,0.0
720575940604349630,FB.458,2.944511,3.125846,0.0
720575940604444081,FB.535,3.42796,2.749536,0.003663
720575940604451505,FB.32,3.174959,4.337702,9.4e-05
720575940604481760,FB.205,3.173235,3.992103,0.000274
720575940604498208,NO.205,2.429817,1.17985,0.0
720575940604518432,NO.71,3.768272,1.992642,0.0
720575940604518944,NO.FB.128,2.216417,1.142417,0.0
720575940604561766,NO.94,2.755048,1.826842,0.0
720575940604612832,FB.60,3.099356,4.599704,0.012302
720575940604667825,NO.238,2.384344,1.211974,0.0
720575940604709920,FB.209,2.853951,4.381901,0.001877
720575940604798910,FB.780,3.45671,2.877802,0.001311
720575940604833982,FB.1164,2.907029,3.607204,9e-06
720575940604842924,EB.150,0.558641,2.385457,0.005681
720575940604868286,FB.70,3.379626,3.373955,0.039208
720575940604967270,EB.338,0.434547,2.211062,1e-06
720575940604969161,AOTU.FB.17,2.090801,2.051455,0.000446
720575940605104049,FB.330,3.345575,2.620636,0.000367
720575940605124482,FB.751,3.463089,3.384797,0.00107
720575940605361841,FB.1294,2.292169,4.030386,0.0
720575940605379506,FB.45,3.392271,4.766977,0.015181
720575940605380274,FB.1185,3.09733,2.874669,0.0
720575940605384882,FB.779,2.713332,2.818817,4.6e-05
720575940605480806,FB.136,3.127895,4.285682,0.001671
720575940605554354,FB.583,3.271145,2.846857,0.000536
720575940605583136,FB.31,3.19321,4.254239,0.010796
720575940605591730,NO.204,2.002135,1.672998,0.0
720575940605754033,FB.322,3.180022,3.158624,0.0
720575940605756081,FB.521,2.917771,3.762295,0.0
720575940605890434,NO.FB.112,2.144216,1.844949,0.0
720575940606102729,EB.135,0.424287,0.90301,1e-06
720575940606198473,CRE.FB.24,3.884477,3.423805,0.0
720575940606436384,FB.538,3.090324,4.489377,0.000106
720575940606483657,SLP.FB.4,3.399393,2.051686,0.000472
720575940606591836,EB.260,0.71536,3.798419,0.000714
720575940606597724,FB.1396,2.246509,3.260952,0.0
720575940606615561,FB.1184,2.936841,3.397748,0.0
720575940606646962,FB.834,2.807956,3.214333,0.000369
720575940606681099,FB.928,2.521546,2.790057,0.0
